Year,State,Oxycodone / Hydrocodone,Index_x,Drug Type,Deaths Rate Per 100K,Index_y,Drug Sold per 100K
2000,Alabama,Hydrocodone,92,Natural and semi-synthetic opioids,4.48569,18,10.69559
2000,Alabama,Oxycodone,92,Natural and semi-synthetic opioids,4.48569,1,6.743989999999999
2000,Alaska,Hydrocodone,225,Natural and semi-synthetic opioids,7.107710000000001,56,4.236269999999999
2000,Alaska,Oxycodone,225,Natural and semi-synthetic opioids,7.107710000000001,39,11.66468
2000,Arizona,Hydrocodone,358,Psychostimulants,10.58964,94,4.429180000000001
2000,Arizona,Oxycodone,358,Psychostimulants,10.58964,77,8.1909
2000,Arkansas,Hydrocodone,491,All opioids,5.38866,132,6.6796
2000,Arkansas,Oxycodone,491,All opioids,5.38866,115,4.5602
2000,California,Hydrocodone,624,Synthetic opioids,5.83551,170,5.7594199999999995
2000,California,Oxycodone,624,Synthetic opioids,5.83551,153,2.57246
2000,Colorado,Hydrocodone,757,Synthetic opioids,7.88388,208,3.92234
2000,Colorado,Oxycodone,757,Synthetic opioids,7.88388,191,4.76166
2000,Connecticut,Hydrocodone,890,Heroin,9.2232,246,3.0173799999999997
2000,Connecticut,Oxycodone,890,Heroin,9.2232,229,10.31355
2000,Delaware,Hydrocodone,1023,All opioids,7.000439999999999,284,2.9071599999999997
2000,Delaware,Oxycodone,1023,All opioids,7.000439999999999,267,10.44289
2000,Dist. of Columbia,Hydrocodone,1156,Cocaine,13.43571,322,1.40475
2000,Dist. of Columbia,Oxycodone,1156,Cocaine,13.43571,305,6.06086
2000,Florida,Hydrocodone,1289,Synthetic opioids,7.41225,360,6.49998
2000,Florida,Oxycodone,1289,Synthetic opioids,7.41225,343,10.375630000000001
2000,Georgia,Hydrocodone,1422,Natural and semi-synthetic opioids,4.36221,398,6.08747
2000,Georgia,Oxycodone,1422,Natural and semi-synthetic opioids,4.36221,381,5.58962
2000,Hawaii,Hydrocodone,1555,Natural and semi-synthetic opioids,5.14809,436,2.6126
2000,Hawaii,Oxycodone,1555,Natural and semi-synthetic opioids,5.14809,419,4.55074
2000,Idaho,Hydrocodone,1688,All opioids,5.13094,474,6.09628
2000,Idaho,Oxycodone,1688,All opioids,5.13094,457,3.30429
2000,Illinois,Hydrocodone,1821,Synthetic opioids,6.99643,512,3.6349400000000003
2000,Illinois,Oxycodone,1821,Synthetic opioids,6.99643,495,1.61091
2000,Indiana,Hydrocodone,1954,All opioids,3.5407599999999997,550,6.94136
2000,Indiana,Oxycodone,1954,All opioids,3.5407599999999997,533,4.9684800000000005
2000,Iowa,Hydrocodone,2086,All drugs,2.54732,588,2.86534
2000,Iowa,Oxycodone,2086,All drugs,2.54732,571,2.70494
2000,Kansas,Hydrocodone,2220,Cocaine,3.9579800000000005,626,4.27044
2000,Kansas,Oxycodone,2220,Cocaine,3.9579800000000005,609,3.64934
2000,Kentucky,Hydrocodone,2353,Natural and semi-synthetic opioids,5.9131800000000005,664,9.862160000000001
2000,Kentucky,Oxycodone,2353,Natural and semi-synthetic opioids,5.9131800000000005,647,8.20952
2000,Louisiana,Hydrocodone,2486,Natural and semi-synthetic opioids,5.64166,702,8.589939999999999
2000,Louisiana,Oxycodone,2486,Natural and semi-synthetic opioids,5.64166,685,5.21882
2000,Maine,Hydrocodone,2619,All opioids,4.7782,740,3.35225
2000,Maine,Oxycodone,2619,All opioids,4.7782,723,10.18961
2000,Maryland,Hydrocodone,2752,Natural and semi-synthetic opioids,11.277999999999999,778,2.5662700000000003
2000,Maryland,Oxycodone,2752,Natural and semi-synthetic opioids,11.277999999999999,761,8.93629
2000,Massachusetts,Hydrocodone,2885,Natural and semi-synthetic opioids,7.111560000000001,816,2.36889
2000,Massachusetts,Oxycodone,2885,Natural and semi-synthetic opioids,7.111560000000001,799,9.06408
2000,Michigan,Hydrocodone,3018,Natural and semi-synthetic opioids,5.63403,854,5.471369999999999
2000,Michigan,Oxycodone,3018,Natural and semi-synthetic opioids,5.63403,837,4.4469199999999995
2000,Minnesota,Hydrocodone,3151,All opioids,2.59939,892,1.71423
2000,Minnesota,Oxycodone,3151,All opioids,2.59939,875,3.5853
2000,Mississippi,Hydrocodone,3283,All drugs,4.17015,930,6.27895
2000,Mississippi,Oxycodone,3283,All drugs,4.17015,913,4.80409
2000,Missouri,Hydrocodone,3417,Synthetic opioids,5.4869,968,4.3627199999999995
2000,Missouri,Oxycodone,3417,Synthetic opioids,5.4869,951,8.79525
2000,Montana,Hydrocodone,3549,All drugs,4.53961,1006,4.40866
2000,Montana,Oxycodone,3549,All drugs,4.53961,989,5.65346
2000,Nebraska,Hydrocodone,3682,All drugs,2.75145,1044,3.4223
2000,Nebraska,Oxycodone,3682,All drugs,2.75145,1027,3.58271
2000,Nevada,Hydrocodone,3816,Psychostimulants,13.68312,1082,10.17085
2000,Nevada,Oxycodone,3816,Psychostimulants,13.68312,1065,7.86407
2000,New Hampshire,Hydrocodone,3949,All opioids,3.42591,1120,2.4478299999999997
2000,New Hampshire,Oxycodone,3949,All opioids,3.42591,1103,10.08951
2000,New Jersey,Hydrocodone,4082,Natural and semi-synthetic opioids,7.53879,1158,2.5118400000000003
2000,New Jersey,Oxycodone,4082,Natural and semi-synthetic opioids,7.53879,1141,6.5728800000000005
2000,New Mexico,Hydrocodone,4215,Synthetic opioids,15.13265,1196,3.8748
2000,New Mexico,Oxycodone,4215,Synthetic opioids,15.13265,1179,4.92623
2000,New York,Hydrocodone,4348,Natural and semi-synthetic opioids,3.9860900000000004,1234,3.21508
2000,New York,Oxycodone,4348,Natural and semi-synthetic opioids,3.9860900000000004,1217,2.94213
2000,North Carolina,Hydrocodone,4481,Synthetic opioids,6.01501,1272,5.57449
2000,North Carolina,Oxycodone,4481,Synthetic opioids,6.01501,1255,7.076410000000001
2000,Ohio,Hydrocodone,4747,Synthetic opioids,4.98819,1348,4.41258
2000,Ohio,Oxycodone,4747,Synthetic opioids,4.98819,1331,7.656689999999999
2000,Oklahoma,Hydrocodone,4880,Synthetic opioids,7.102410000000001,1386,8.59326
2000,Oklahoma,Oxycodone,4880,Synthetic opioids,7.102410000000001,1369,4.61335
2000,Oregon,Hydrocodone,5013,Natural and semi-synthetic opioids,6.01506,1424,6.0854099999999995
2000,Oregon,Oxycodone,5013,Natural and semi-synthetic opioids,6.01506,1407,6.72284
2000,Pennsylvania,Hydrocodone,5146,Synthetic opioids,9.46469,1462,3.5727599999999997
2000,Pennsylvania,Oxycodone,5146,Synthetic opioids,9.46469,1445,9.01652
2000,Rhode Island,Hydrocodone,5279,Cocaine,6.99574,1500,4.9237400000000004
2000,Rhode Island,Oxycodone,5279,Cocaine,6.99574,1483,7.06113
2000,South Carolina,Hydrocodone,5412,Natural and semi-synthetic opioids,6.4558800000000005,1538,6.40119
2000,South Carolina,Oxycodone,5412,Natural and semi-synthetic opioids,6.4558800000000005,1521,7.7128
2000,South Dakota,Hydrocodone,5544,All drugs,2.77117,1576,2.05734
2000,South Dakota,Oxycodone,5544,All drugs,2.77117,1559,2.9747
2000,Tennessee,Hydrocodone,5678,Natural and semi-synthetic opioids,6.93059,1614,8.317160000000001
2000,Tennessee,Oxycodone,5678,Natural and semi-synthetic opioids,6.93059,1597,5.491280000000001
2000,Texas,Hydrocodone,5811,Synthetic opioids,4.97861,1652,7.1875100000000005
2000,Texas,Oxycodone,5811,Synthetic opioids,4.97861,1635,2.49553
2000,Utah,Hydrocodone,5944,Natural and semi-synthetic opioids,10.374369999999999,1690,5.75694
2000,Utah,Oxycodone,5944,Natural and semi-synthetic opioids,10.374369999999999,1673,4.93778
2000,Vermont,Hydrocodone,6077,All opioids,5.79881,1728,2.1172299999999997
2000,Vermont,Oxycodone,6077,All opioids,5.79881,1711,7.38345
2000,Virginia,Hydrocodone,6210,Synthetic opioids,5.62435,1766,4.02541
2000,Virginia,Oxycodone,6210,Synthetic opioids,5.62435,1749,6.64995
2000,Washington,Hydrocodone,6343,Synthetic opioids,9.185319999999999,1804,4.7676099999999995
2000,Washington,Oxycodone,6343,Synthetic opioids,9.185319999999999,1787,7.299119999999999
2000,West Virginia,Hydrocodone,6476,Natural and semi-synthetic opioids,6.22801,1842,8.31296
2000,West Virginia,Oxycodone,6476,Natural and semi-synthetic opioids,6.22801,1825,10.73888
2000,Wisconsin,Hydrocodone,6609,Synthetic opioids,4.59994,1880,2.9997700000000003
2000,Wisconsin,Oxycodone,6609,Synthetic opioids,4.59994,1863,5.29916
2000,Wyoming,Hydrocodone,6741,All drugs,4.60544,1918,3.6760699999999997
2000,Wyoming,Oxycodone,6741,All drugs,4.60544,1901,3.6279199999999996
2001,Alabama,Hydrocodone,94,Natural and semi-synthetic opioids,4.89149,19,11.35396
2001,Alabama,Oxycodone,94,Natural and semi-synthetic opioids,4.89149,2,7.793989999999999
2001,Alaska,Hydrocodone,226,All drugs,9.39828,57,5.05087
2001,Alaska,Oxycodone,226,All drugs,9.39828,40,17.294220000000003
2001,Arizona,Hydrocodone,360,Synthetic opioids,10.900839999999999,95,5.32648
2001,Arizona,Oxycodone,360,Synthetic opioids,10.900839999999999,78,11.27272
2001,Arkansas,Hydrocodone,493,All opioids,4.846019999999999,133,7.74932
2001,Arkansas,Oxycodone,493,All opioids,4.846019999999999,116,5.88981
2001,California,Hydrocodone,626,Synthetic opioids,3.61858,171,6.35395
2001,California,Oxycodone,626,Synthetic opioids,3.61858,154,3.8250599999999997
2001,Colorado,Hydrocodone,759,Psychostimulants,8.9896,209,4.746180000000001
2001,Colorado,Oxycodone,759,Psychostimulants,8.9896,192,7.07175
2001,Connecticut,Hydrocodone,892,Heroin,8.78694,247,2.79866
2001,Connecticut,Oxycodone,892,Heroin,8.78694,230,12.594389999999999
2001,Delaware,Hydrocodone,1025,All opioids,8.03444,285,2.7818400000000003
2001,Delaware,Oxycodone,1025,All opioids,8.03444,268,11.8738
2001,Dist. of Columbia,Hydrocodone,1158,Cocaine,16.207,323,1.32637
2001,Dist. of Columbia,Oxycodone,1158,Cocaine,16.207,306,6.34473
2001,Florida,Hydrocodone,1291,Synthetic opioids,10.94237,361,7.30513
2001,Florida,Oxycodone,1291,Synthetic opioids,10.94237,344,13.60561
2001,Georgia,Hydrocodone,1424,Synthetic opioids,6.01399,399,6.37701
2001,Georgia,Oxycodone,1424,Synthetic opioids,6.01399,382,7.14613
2001,Hawaii,Hydrocodone,1557,Natural and semi-synthetic opioids,6.18498,437,3.2422400000000002
2001,Hawaii,Oxycodone,1557,Natural and semi-synthetic opioids,6.18498,420,7.61492
2001,Idaho,Hydrocodone,1690,Natural and semi-synthetic opioids,7.82315,475,6.79519
2001,Idaho,Oxycodone,1690,Natural and semi-synthetic opioids,7.82315,458,4.78871
2001,Illinois,Hydrocodone,1823,Synthetic opioids,7.14228,513,4.04057
2001,Illinois,Oxycodone,1823,Synthetic opioids,7.14228,496,2.35323
2001,Indiana,Hydrocodone,1956,Natural and semi-synthetic opioids,4.6642,551,7.273160000000001
2001,Indiana,Oxycodone,1956,Natural and semi-synthetic opioids,4.6642,534,6.601960000000001
2001,Iowa,Hydrocodone,2089,All opioids,3.0074799999999997,589,3.31199
2001,Iowa,Oxycodone,2089,All opioids,3.0074799999999997,572,3.7466199999999996
2001,Kansas,Hydrocodone,2222,Natural and semi-synthetic opioids,5.25785,627,5.35775
2001,Kansas,Oxycodone,2222,Natural and semi-synthetic opioids,5.25785,610,4.97189
2001,Kentucky,Hydrocodone,2355,Natural and semi-synthetic opioids,8.43858,665,11.40932
2001,Kentucky,Oxycodone,2355,Natural and semi-synthetic opioids,8.43858,648,8.68108
2001,Louisiana,Hydrocodone,2488,Natural and semi-synthetic opioids,5.97002,703,9.6965
2001,Louisiana,Oxycodone,2488,Natural and semi-synthetic opioids,5.97002,686,6.75595
2001,Maine,Hydrocodone,2621,All opioids,6.489330000000001,741,3.73095
2001,Maine,Oxycodone,2621,All opioids,6.489330000000001,724,11.33361
2001,Maryland,Hydrocodone,2754,Natural and semi-synthetic opioids,11.482510000000001,779,2.25885
2001,Maryland,Oxycodone,2754,Natural and semi-synthetic opioids,11.482510000000001,762,11.10799
