Index,Fips,Location,Drug Type,TimeFrame,Data Type,Data,MOE
1,1,Alabama,Cocaine,2000,"Rate per 100,000",N/A,N/A
2,1,Alabama,Heroin,2000,"Rate per 100,000",N/A,N/A
3,1,Alabama,Natural and semi-synthetic opioids,2000,"Rate per 100,000",0.59776,0.230278563
4,1,Alabama,Psychostimulants,2000,"Rate per 100,000",N/A,N/A
5,1,Alabama,Synthetic opioids,2000,"Rate per 100,000",N/A,0.144283191
6,1,Alabama,Cocaine,2001,"Rate per 100,000",0.49965,0.209373236
7,1,Alabama,Heroin,2001,"Rate per 100,000",N/A,N/A
8,1,Alabama,Natural and semi-synthetic opioids,2001,"Rate per 100,000",0.49443,0.207094543
9,1,Alabama,Psychostimulants,2001,"Rate per 100,000",N/A,N/A
10,1,Alabama,Synthetic opioids,2001,"Rate per 100,000",N/A,N/A
11,1,Alabama,Cocaine,2002,"Rate per 100,000",0.54387,0.218635768
12,1,Alabama,Heroin,2002,"Rate per 100,000",N/A,N/A
13,1,Alabama,Natural and semi-synthetic opioids,2002,"Rate per 100,000",0.66971,0.240510894
14,1,Alabama,Psychostimulants,2002,"Rate per 100,000",N/A,N/A
15,1,Alabama,Synthetic opioids,2002,"Rate per 100,000",N/A,N/A
16,1,Alabama,Cocaine,2003,"Rate per 100,000",N/A,N/A
17,1,Alabama,Heroin,2003,"Rate per 100,000",N/A,N/A
18,1,Alabama,Natural and semi-synthetic opioids,2003,"Rate per 100,000",0.50449,0.211437817
19,1,Alabama,Psychostimulants,2003,"Rate per 100,000",N/A,N/A
20,1,Alabama,Synthetic opioids,2003,"Rate per 100,000",N/A,N/A
21,1,Alabama,Cocaine,2004,"Rate per 100,000",0.82993,0.268875152
22,1,Alabama,Heroin,2004,"Rate per 100,000",N/A,N/A
23,1,Alabama,Natural and semi-synthetic opioids,2004,"Rate per 100,000",0.74169,0.258399203
24,1,Alabama,Psychostimulants,2004,"Rate per 100,000",N/A,N/A
25,1,Alabama,Synthetic opioids,2004,"Rate per 100,000",N/A,0.166315922
26,1,Alabama,Cocaine,2005,"Rate per 100,000",0.79213,0.267684579
27,1,Alabama,Heroin,2005,"Rate per 100,000",N/A,N/A
28,1,Alabama,Natural and semi-synthetic opioids,2005,"Rate per 100,000",0.53683,0.215956704
29,1,Alabama,Psychostimulants,2005,"Rate per 100,000",N/A,N/A
30,1,Alabama,Synthetic opioids,2005,"Rate per 100,000",N/A,0.141395017
31,1,Alabama,Cocaine,2006,"Rate per 100,000",1.0045,0.298184991
32,1,Alabama,Heroin,2006,"Rate per 100,000",N/A,N/A
33,1,Alabama,Natural and semi-synthetic opioids,2006,"Rate per 100,000",1.04802,0.296471019
34,1,Alabama,Psychostimulants,2006,"Rate per 100,000",N/A,N/A
35,1,Alabama,Synthetic opioids,2006,"Rate per 100,000",0.48514,0.204651914
36,1,Alabama,Cocaine,2007,"Rate per 100,000",0.65455,0.237463176
37,1,Alabama,Heroin,2007,"Rate per 100,000",N/A,N/A
38,1,Alabama,Natural and semi-synthetic opioids,2007,"Rate per 100,000",1.44567,0.350751469
39,1,Alabama,Psychostimulants,2007,"Rate per 100,000",N/A,N/A
40,1,Alabama,Synthetic opioids,2007,"Rate per 100,000",0.44793,0.192955393
41,1,Alabama,Cocaine,2008,"Rate per 100,000",1.15208,0.313549459
42,1,Alabama,Heroin,2008,"Rate per 100,000",N/A,N/A
43,1,Alabama,Natural and semi-synthetic opioids,2008,"Rate per 100,000",1.60135,0.370386208
44,1,Alabama,Psychostimulants,2008,"Rate per 100,000",N/A,N/A
45,1,Alabama,Synthetic opioids,2008,"Rate per 100,000",N/A,0.185907931
46,1,Alabama,Cocaine,2009,"Rate per 100,000",0.71838,0.248218104
47,1,Alabama,Heroin,2009,"Rate per 100,000",N/A,0.153191095
48,1,Alabama,Natural and semi-synthetic opioids,2009,"Rate per 100,000",2.00067,0.413349463
49,1,Alabama,Psychostimulants,2009,"Rate per 100,000",N/A,N/A
50,1,Alabama,Synthetic opioids,2009,"Rate per 100,000",0.66936,0.240026482
51,1,Alabama,Cocaine,2010,"Rate per 100,000",0.58252,0.218537003
52,1,Alabama,Heroin,2010,"Rate per 100,000",N/A,N/A
53,1,Alabama,Natural and semi-synthetic opioids,2010,"Rate per 100,000",1.75391,0.383947879
54,1,Alabama,Psychostimulants,2010,"Rate per 100,000",0.52014,0.209550232
55,1,Alabama,Synthetic opioids,2010,"Rate per 100,000",0.73558,0.250639824
56,1,Alabama,Cocaine,2011,"Rate per 100,000",0.45916,0.192660555
57,1,Alabama,Heroin,2011,"Rate per 100,000",N/A,0.169510798
58,1,Alabama,Natural and semi-synthetic opioids,2011,"Rate per 100,000",1.91415,0.396140265
59,1,Alabama,Psychostimulants,2011,"Rate per 100,000",N/A,N/A
60,1,Alabama,Synthetic opioids,2011,"Rate per 100,000",N/A,0.199999031
61,1,Alabama,Cocaine,2012,"Rate per 100,000",N/A,N/A
62,1,Alabama,Heroin,2012,"Rate per 100,000",0.7916,0.264408961
63,1,Alabama,Natural and semi-synthetic opioids,2012,"Rate per 100,000",1.31747,0.332077185
64,1,Alabama,Psychostimulants,2012,"Rate per 100,000",N/A,N/A
65,1,Alabama,Synthetic opioids,2012,"Rate per 100,000",N/A,0.168174684
66,1,Alabama,Cocaine,2013,"Rate per 100,000",0.66218,0.241344318
67,1,Alabama,Heroin,2013,"Rate per 100,000",0.83622,0.261983053
68,1,Alabama,Natural and semi-synthetic opioids,2013,"Rate per 100,000",1.34654,0.333566108
69,1,Alabama,Psychostimulants,2013,"Rate per 100,000",0.48186,0.204651654
70,1,Alabama,Synthetic opioids,2013,"Rate per 100,000",0.60251,0.220978056
71,1,Alabama,Cocaine,2014,"Rate per 100,000",0.83274,0.266234398
72,1,Alabama,Heroin,2014,"Rate per 100,000",2.69832,0.485693737
73,1,Alabama,Natural and semi-synthetic opioids,2014,"Rate per 100,000",1.79244,0.378413127
74,1,Alabama,Psychostimulants,2014,"Rate per 100,000",0.60292,0.22735253
75,1,Alabama,Synthetic opioids,2014,"Rate per 100,000",0.9819,0.287255973
76,1,Alabama,Cocaine,2015,"Rate per 100,000",0.83065,0.269391596
77,1,Alabama,Heroin,2015,"Rate per 100,000",2.4709,0.465209197
78,1,Alabama,Natural and semi-synthetic opioids,2015,"Rate per 100,000",1.82628,0.3930841
79,1,Alabama,Psychostimulants,2015,"Rate per 100,000",0.86895,0.273308188
80,1,Alabama,Synthetic opioids,2015,"Rate per 100,000",1.55124,0.36886787
81,1,Alabama,Cocaine,2016,"Rate per 100,000",1.77925,0.393913537
82,1,Alabama,Heroin,2016,"Rate per 100,000",2.81417,0.4997112
83,1,Alabama,Natural and semi-synthetic opioids,2016,"Rate per 100,000",1.98642,0.411172753
84,1,Alabama,Psychostimulants,2016,"Rate per 100,000",1.20906,0.326798052
85,1,Alabama,Synthetic opioids,2016,"Rate per 100,000",3.49036,0.554215815
86,1,Alabama,Cocaine,2017,"Rate per 100,000",2.15791,0.431691588
87,1,Alabama,Heroin,2017,"Rate per 100,000",2.72993,0.486991653
88,1,Alabama,Natural and semi-synthetic opioids,2017,"Rate per 100,000",2.88078,0.487135115
89,1,Alabama,Psychostimulants,2017,"Rate per 100,000",2.62833,0.48402947
90,1,Alabama,Synthetic opioids,2017,"Rate per 100,000",4.34563,0.616029776
91,1,Alabama,All drugs,2000,"Rate per 100,000",4.48569,0.62691553
92,1,Alabama,All opioids,2000,"Rate per 100,000",0.98993,0.296226046
93,1,Alabama,All drugs,2001,"Rate per 100,000",4.89149,0.653251836
94,1,Alabama,All opioids,2001,"Rate per 100,000",1.29709,0.337223121
95,1,Alabama,All drugs,2002,"Rate per 100,000",4.76194,0.644222294
96,1,Alabama,All opioids,2002,"Rate per 100,000",1.61198,0.376022548
97,1,Alabama,All drugs,2003,"Rate per 100,000",4.43332,0.621346883
98,1,Alabama,All opioids,2003,"Rate per 100,000",1.10769,0.311587795
99,1,Alabama,All drugs,2004,"Rate per 100,000",6.35419,0.743699636
100,1,Alabama,All opioids,2004,"Rate per 100,000",1.847,0.399125852
101,1,Alabama,All drugs,2005,"Rate per 100,000",6.33301,0.741516324
