Index,Fips,Location,Oxycodone / Hydrocodone,TimeFrame,Data Type,Data,MOE
1,1,Alabama,Oxycodone,2000,"Rate per 100,000",6.74399,
2,1,Alabama,Oxycodone,2001,"Rate per 100,000",7.79399,
3,1,Alabama,Oxycodone,2002,"Rate per 100,000",7.80123,
4,1,Alabama,Oxycodone,2003,"Rate per 100,000",9.26128,
5,1,Alabama,Oxycodone,2004,"Rate per 100,000",9.10411,
6,1,Alabama,Oxycodone,2005,"Rate per 100,000",9.88653,
7,1,Alabama,Oxycodone,2006,"Rate per 100,000",11.98591,
8,1,Alabama,Oxycodone,2007,"Rate per 100,000",14.93061,
9,1,Alabama,Oxycodone,2008,"Rate per 100,000",14.42558,
10,1,Alabama,Oxycodone,2009,"Rate per 100,000",15.39002,
11,1,Alabama,Oxycodone,2010,"Rate per 100,000",16.14073,
12,1,Alabama,Oxycodone,2011,"Rate per 100,000",18.88156,
13,1,Alabama,Oxycodone,2012,"Rate per 100,000",20.99541,
14,1,Alabama,Oxycodone,2013,"Rate per 100,000",21.10334,
15,1,Alabama,Oxycodone,2014,"Rate per 100,000",22.75752,
16,1,Alabama,Oxycodone,2015,"Rate per 100,000",23.42426,
17,1,Alabama,Oxycodone,2016,"Rate per 100,000",22.23861,
18,1,Alabama,Hydrocodone,2000,"Rate per 100,000",10.69559,
19,1,Alabama,Hydrocodone,2001,"Rate per 100,000",11.35396,
20,1,Alabama,Hydrocodone,2002,"Rate per 100,000",12.81029,
21,1,Alabama,Hydrocodone,2003,"Rate per 100,000",15.48852,
22,1,Alabama,Hydrocodone,2004,"Rate per 100,000",15.82898,
23,1,Alabama,Hydrocodone,2005,"Rate per 100,000",17.99939,
24,1,Alabama,Hydrocodone,2006,"Rate per 100,000",20.08382,
25,1,Alabama,Hydrocodone,2007,"Rate per 100,000",29.55838,
26,1,Alabama,Hydrocodone,2008,"Rate per 100,000",24.45732,
27,1,Alabama,Hydrocodone,2009,"Rate per 100,000",26.22844,
28,1,Alabama,Hydrocodone,2010,"Rate per 100,000",25.75433,
29,1,Alabama,Hydrocodone,2011,"Rate per 100,000",28.43895,
30,1,Alabama,Hydrocodone,2012,"Rate per 100,000",29.6958,
31,1,Alabama,Hydrocodone,2013,"Rate per 100,000",37.04516,
32,1,Alabama,Hydrocodone,2014,"Rate per 100,000",26.76161,
33,1,Alabama,Hydrocodone,2015,"Rate per 100,000",24.38306,
34,1,Alabama,Hydrocodone,2016,"Rate per 100,000",23.02324,
35,1,Alabama,Oxycodone,2017,"Rate per 100,000",19.31574,
36,1,Alabama,Hydrocodone,2017,"Rate per 100,000",20.13305,
37,1,Alabama,Oxycodone,2018,"Rate per 100,000",16.63208,
38,1,Alabama,Hydrocodone,2018,"Rate per 100,000",17.86688,
39,2,Alaska,Oxycodone,2000,"Rate per 100,000",11.66468,
40,2,Alaska,Oxycodone,2001,"Rate per 100,000",17.29422,
41,2,Alaska,Oxycodone,2002,"Rate per 100,000",17.20578,
42,2,Alaska,Oxycodone,2003,"Rate per 100,000",15.64646,
43,2,Alaska,Oxycodone,2004,"Rate per 100,000",15.96,
44,2,Alaska,Oxycodone,2005,"Rate per 100,000",14.65725,
45,2,Alaska,Oxycodone,2006,"Rate per 100,000",15.42679,
46,2,Alaska,Oxycodone,2007,"Rate per 100,000",16.4142,
47,2,Alaska,Oxycodone,2008,"Rate per 100,000",18.21122,
48,2,Alaska,Oxycodone,2009,"Rate per 100,000",19.36936,
49,2,Alaska,Oxycodone,2010,"Rate per 100,000",18.20163,
50,2,Alaska,Oxycodone,2011,"Rate per 100,000",19.555,
51,2,Alaska,Oxycodone,2012,"Rate per 100,000",20.70067,
52,2,Alaska,Oxycodone,2013,"Rate per 100,000",20.32358,
53,2,Alaska,Oxycodone,2014,"Rate per 100,000",20.69738,
54,2,Alaska,Oxycodone,2015,"Rate per 100,000",21.49059,
55,2,Alaska,Oxycodone,2016,"Rate per 100,000",21.16648,
56,2,Alaska,Hydrocodone,2000,"Rate per 100,000",4.23627,
57,2,Alaska,Hydrocodone,2001,"Rate per 100,000",5.05087,
58,2,Alaska,Hydrocodone,2002,"Rate per 100,000",5.74049,
59,2,Alaska,Hydrocodone,2003,"Rate per 100,000",6.47207,
60,2,Alaska,Hydrocodone,2004,"Rate per 100,000",6.91439,
61,2,Alaska,Hydrocodone,2005,"Rate per 100,000",7.12695,
